S.No,Name,Games_Played,Goals,Assists,Yellow_cards,Red_cards,Club
1,Ederson,25,24,10,3,1,Manchester City
2,Claudio Bravo,4,7,1,-,-,Manchester City
3,Scott Carson,-,-,-,-,-,Manchester City
4,Aymeric Laporte,7,-,-,1,-,Manchester City
5,John Stones,12,-,-,-,-,Manchester City
6,Nicolas Otamendi,19,2,-,3,-,Manchester City
7,Eric Garcia,,,,,,Manchester City
8,Benjamin Mendy,14,-,2,2,-,Manchester City
9,Oleksandr Zinchenko,12,-,-,-,-,Manchester City
10,Kyle Walker,21,1,2,4,-,Manchester City
11,Joao Cancelo,11,-,-,2,-,Manchester City
12,Rodri,26,3,1,7,-,Manchester City
13,Fernandinho,23,-,-,6,-,Manchester City
14,Ilkay Gundogan,25,2,1,7,-,Manchester City
15,Phil Foden,14,-,1,-,-,Manchester City
16,Kevin De Bruyne,26,8,17,2,-,Manchester City
17,David Silva,19,3,7,-,-,Manchester City
18,Raheem Sterling,,,,,,Manchester City
19,Leroy Sane,1,-,-,-,-,Manchester City
20,Bernardo Silva,24,5,5,5,-,Manchester City
21,Riyad Mahrez,23,7,10,-,-,Manchester City
22,Gabriel Jesus,24,10,5,2,-,Manchester City
23,Sergio Aguero,22,16,3,1,-,Manchester City
24,Alisson,20,11,12,-,1,Liverpool
25,Adrian,11,10,2,1,-,Liverpool
26,Caoimhin Kelleher,-,-,-,-,-,Liverpool
27,Andy Lonergan,-,-,-,-,-,Liverpool
28,Virgil Van Dijk,29,4,1,1,-,Liverpool
29,Joe Gomez,19,-,-,3,-,Liverpool
30,Joel Matip,8,1,-,-,-,Liverpool
31,Dejan Lovren,9,-,1,1,-,Liverpool
32,Andrew Robertson,28,1,7,1,-,Liverpool
33,Trent Alexander Arnold,,,,,,Liverpool
34,Fabinho,20,1,1,5,-,Liverpool
35,Georginio Wijnaldum,28,3,-,-,-,Liverpool
36,Naby Keita,9,1,1,1,-,Liverpool
37,Jordan Henderson,25,3,5,1,-,Liverpool
38,Alex Oxlade Chamberlain,21,3,-,1,-,Liverpool
39,James Milner,18,2,2,3,-,Liverpool
40,Curtis Jones,14,9,5,1,-,Liverpool
41,Adam Lallana,15,1,1,1,-,Liverpool
42,Sadio Mane,26,14,9,2,-,Liverpool
43,Takumi Minamino,3,-,-,-,-,Liverpool
44,Mohamed Salah,26,16,6,1,-,Liverpool
45,Xherdan Shaqiri,6,1,-,-,-,Liverpool
46,Roberto Firmino,29,8,7,-,-,Liverpool
47,Divock Origi,22,3,3,-,-,Liverpool
48,Hugo Lloris,12,14,2,-,-,Tottenham Hotspur
49,Paulo Gazzaniga,18,26,2,1,-,Tottenham Hotspur
50,Michel Vorm,-,-,-,-,-,Tottenham Hotspur
51,Alfie Whiteman,-,-,-,-,-,Tottenham Hotspur
52,Davinson Sanchez,22,-,-,5,-,Tottenham Hotspur
53,Toby Alderweireld,27,1,2,4,-,Tottenham Hotspur
54,Jan Vertonghen,19,1,1,2,-,Tottenham Hotspur
55,Juan Foyth,4,-,-,1,-,Tottenham Hotspur
56,Japhet Tanganga,6,-,-,1,-,Tottenham Hotspur
57,Ben Davies,9,-,-,2,-,Tottenham Hotspur
58,Serge Aurier,24,1,4,1,-,Tottenham Hotspur
59,Eric Dier,14,-,2,4,-,Tottenham Hotspur
60,Oliver Skipp,4,-,-,-,-,Tottenham Hotspur
61,Tanguy Ndombele,19,2,2,2,-,Tottenham Hotspur
62,Giovani Lo Celso,19,-,-,5,-,Tottenham Hotspur
63,Harry Winks,23,-,-,8,-,Tottenham Hotspur
64,Moussa Sissoko,20,2,1,6,-,Tottenham Hotspur
65,Gedson Fernandes,4,-,-,-,-,Tottenham Hotspur
66,Ryan Sessegnon,6,-,-,-,-,Tottenham Hotspur
67,Dele Alli,22,8,3,2,-,Tottenham Hotspur
68,Heung Min Son,21,9,8,-,2,Tottenham Hotspur
69,Steven Bergwijn,5,2,-,1,-,Tottenham Hotspur
70,Lucas Moura,27,4,2,2,-,Tottenham Hotspur
71,Erik Lamela,17,2,3,3,-,Tottenham Hotspur
72,Harry Kane,20,11,2,2,-,Tottenham Hotspur
73,Malachi Walcott,3,-,-,-,-,Tottenham Hotspur
74,Troy Parrott,4,6,1,1,-,Tottenham Hotspur
75,Kepa,25,32,6,-,-,Chelsea
76,Willy Caballero,4,7,-,-,-,Chelsea
77,Antonio Rudiger,13,2,-,3,-,Chelsea
78,Kurt Zouma,22,-,-,5,-,Chelsea
79,Andreas Christensen,15,-,-,5,-,Chelsea
80,Fikayo Tomori,15,1,-,3,-,Chelsea
81,Emerson,14,-,-,3,-,Chelsea
82,Marcos Alonso,11,4,3,3,-,Chelsea
83,Cesar Azpilicueta,27,2,3,-,-,Chelsea
84,Reece James,17,-,2,1,-,Chelsea
85,Jorginho,26,4,2,10,-,Chelsea
86,Ngolo Kante,18,3,-,3,-,Chelsea
87,Mateo Kovacic,25,1,3,7,-,Chelsea
88,Ruben Loftus Cheek,-,-,-,-,-,Chelsea
89,Ross Barkley,13,-,3,-,-,Chelsea
90,Billy Gilmour,3,-,-,-,-,Chelsea
91,Lewis Baker,8,-,-,1,-,Chelsea
92,Danilo Pantic,8,-,-,1,-,Chelsea
93,Mason Mount,29,6,5,3,-,Chelsea
94,Callum Hudson Odoi,17,1,4,1,-,Chelsea
95,Christian Pulisic,16,5,2,-,-,Chelsea
96,Willian,28,5,5,3,-,Chelsea
97,Pedro,9,1,1,1,-,Chelsea
98,Tammy Abraham,25,13,4,2,-,Chelsea
99,Michy Batshuayi,16,1,1,-,-,Chelsea
100,Olivier Giroud,9,2,-,-,-,Chelsea
101,Faustino Anjorin,11,5,4,-,-,Chelsea
102,Armando Broja,,,,,,Chelsea
103,David De Gea,29,30,8,2,-,Manchester United
104,Sergio Romero,-,-,-,-,-,Manchester United
105,Lee Grant,-,-,-,-,-,Manchester United
106,Harry Maguire,29,1,1,4,-,Manchester United
107,Victor Lindelof,26,1,-,5,-,Manchester United
108,Eric Bailly,2,-,-,-,-,Manchester United
109,Axel Tuanzebe,5,-,-,-,-,Manchester United
110,Phil Jones,2,-,-,-,-,Manchester United
111,Luke Shaw,,,,,,Manchester United
112,Brandon Williams,12,1,-,5,-,Manchester United
113,Aaron Wan Bissaka,26,-,2,5,-,Manchester United
114,Diogo Dalot,4,-,-,-,-,Manchester United
115,Timothy Fosu Mensah,2,-,-,-,-,Manchester United
116,Nemanja Matic,12,-,1,1,-,Manchester United
117,Paul Pogba,7,-,2,-,-,Manchester United
118,Scott Mctominay,20,4,1,2,-,Manchester United
119,Fred,25,-,-,7,-,Manchester United
120,Bruno Fernandes,5,2,3,1,-,Manchester United
121,Andreas Pereira,23,1,3,3,-,Manchester United
122,Juan Mata,17,-,2,1,-,Manchester United
123,Daniel James,27,3,6,3,-,Manchester United
124,Jesse Lingard,20,-,-,3,-,Manchester United
125,Tahith Chong,3,-,-,-,-,Manchester United
126,Marcus Rashford,22,14,4,2,-,Manchester United
127,Anthony Martial,23,11,3,1,-,Manchester United
128,Mason Greenwood,22,5,-,-,-,Manchester United
129,Odion Ighalo,4,-,-,-,-,Manchester United
130,Bernd Leno,28,36,7,2,-,Arsenal
131,Emiliano Martinez,-,-,-,-,-,Arsenal
132,Matt Macey,5,11,-,-,-,Arsenal
133,Sokratis,19,2,-,6,-,Arsenal
134,Shkodran Mustafi,8,-,1,-,-,Arsenal
135,David Luiz,25,2,1,4,1,Arsenal
136,Rob Holding,2,-,-,-,-,Arsenal
137,Pablo Mari,1,-,-,-,-,Arsenal
138,Kieran Tierney,5,-,-,1,-,Arsenal
139,Sead Kolasinac,17,-,2,3,-,Arsenal
140,Hector Bellerin,8,1,-,2,-,Arsenal
141,Calum Chambers,14,1,1,5,-,Arsenal
142,Cedric Soares,16,-,1,1,-,Arsenal
143,Lucas Torreira,24,1,1,4,-,Arsenal
144,Granit Xhaka,22,-,1,7,-,Arsenal
145,Matteo Guendouzi,22,-,2,6,-,Arsenal
146,Dani Ceballos,14,-,2,-,-,Arsenal
147,Joe Willock,19,-,-,1,-,Arsenal
148,Ainsley Maitland Niles,14,-,2,3,-,Arsenal
